alpha body, Static Stability Margin
 -10.000000,    0.443481
  -9.000000,    0.433106
  -8.000000,    0.412703
  -7.000000,    0.392355
  -6.000000,    0.371919
  -5.000000,    0.351861
  -4.000000,    0.335395
  -3.000000,    0.322716
  -2.000000,    0.302277
  -1.000000,    0.281549
   0.000000,    0.269000
   1.000000,    0.256568
   2.000000,    0.244321
   3.000000,    0.232900
   4.000000,    0.222004
   5.000000,    0.211249
   6.000000,    0.200758
   7.000000,    0.190677
   8.000000,    0.180119
   9.000000,    0.165252
  10.000000,    0.141585
  11.000000,    0.102047
  12.000000,    0.022239
  13.000000,   -0.167540
  14.000000,   -0.759962
  15.000000, 2614.700605
  16.000000, 2617.468105
  17.000000,    3.827261
  18.000000,    3.376619
  19.000000,    4.159775
  20.000000,    4.903119
