alpha body, Static Stability Margin
 -10.000000,    0.449191
  -9.090909,    0.440050
  -8.181818,    0.421576
  -7.272727,    0.402831
  -6.363636,    0.384182
  -5.454545,    0.366267
  -4.545455,    0.348652
  -3.636364,    0.333313
  -2.727273,    0.323821
  -1.818182,    0.305635
  -0.909091,    0.284879
  -0.000000,    0.273776
   0.909091,    0.262782
   1.818182,    0.251719
   2.727273,    0.240843
   3.636364,    0.230470
   4.545455,    0.220833
   5.454545,    0.211441
   6.363636,    0.201926
   7.272727,    0.192713
   8.181818,    0.182932
   9.090909,    0.169031
  10.000000,    0.147514
  10.909091,    0.113198
  11.818182,    0.048691
  12.727273,   -0.087609
  13.636364,   -0.423929
  14.545455,   -2.179674
  15.454545,    2.325199
  16.363636,    6.042113
  17.272727,    3.527535
  18.181818,    3.367227
  19.090909,    4.259380
  20.000000,    5.097820
