alpha body, Static Stability Margin
 -10.000000,    0.119538
  -9.090909,    0.110082
  -8.181818,    0.091043
  -7.272727,    0.071876
  -6.363636,    0.052973
  -5.454545,    0.034969
  -4.545455,    0.017407
  -3.636364,    0.002565
  -2.727273,   -0.005586
  -1.818182,   -0.023358
  -0.909091,   -0.043959
  -0.000000,   -0.053708
   0.909091,   -0.063220
   1.818182,   -0.072682
   2.727273,   -0.081841
   3.636364,   -0.090393
   4.545455,   -0.098137
   5.454545,   -0.105544
   6.363636,   -0.112943
   7.272727,   -0.119933
   8.181818,   -0.127507
   9.090909,   -0.139491
  10.000000,   -0.159523
  10.909091,   -0.193002
  11.818182,   -0.258601
