alpha body, Static Stability Margin
 -10.000000,    0.317629
  -9.090909,    0.307975
  -8.181818,    0.288483
  -7.272727,    0.268748
  -6.363636,    0.249179
  -5.454545,    0.230460
  -4.545455,    0.212111
  -3.636364,    0.196184
  -2.727273,    0.186454
  -1.818182,    0.167642
  -0.909091,    0.146163
  -0.000000,    0.134864
   0.909091,    0.123716
   1.818182,    0.112539
   2.727273,    0.101595
   3.636364,    0.091211
   4.545455,    0.081623
   5.454545,    0.072319
   6.363636,    0.062923
   7.272727,    0.053872
   8.181818,    0.044212
   9.090909,    0.030113
  10.000000,    0.007836
  10.909091,   -0.028092
  11.818182,   -0.096034
  12.727273,   -0.240001
  13.636364,   -0.595591
  14.545455,   -2.441005
  15.454545,    2.357596
  16.363636,    6.281558
  17.272727,    3.589865
  18.181818,    3.418591
  19.090909,    4.366034
