alpha body, Static Stability Margin
 -10.000000,    0.089069
  -9.000000,    0.077123
  -8.000000,    0.053769
  -7.000000,    0.030678
  -6.000000,    0.007649
  -5.000000,   -0.014732
  -4.000000,   -0.032846
  -3.000000,   -0.046495
  -2.000000,   -0.068804
  -1.000000,   -0.091324
   0.000000,   -0.104440
   1.000000,   -0.117278
   2.000000,   -0.129766
   3.000000,   -0.141217
   4.000000,   -0.151980
   5.000000,   -0.162474
   6.000000,   -0.172568
   7.000000,   -0.182104
   8.000000,   -0.192151
   9.000000,   -0.207315
  10.000000,   -0.232962
  11.000000,   -0.277309
