CLe, Neutral Point
  -0.867846,    0.211669
  -0.753527,    0.220755
  -0.639374,    0.238855
  -0.525389,    0.256773
  -0.411575,    0.274160
  -0.297919,    0.290936
  -0.184421,    0.304511
  -0.071093,    0.314777
   0.042452,    0.332185
   0.155517,    0.349223
   0.268412,    0.357851
   0.381150,    0.366091
   0.493719,    0.374403
   0.606114,    0.382336
   0.718334,    0.389740
   0.830384,    0.396217
   0.942277,    0.402140
   1.054004,    0.407965
   1.165559,    0.413491
   1.276942,    0.418491
   1.388155,    0.423019
   1.498888,    0.440894
   1.597283,    0.514016
   1.664471,    0.827740
   1.695720,    2.977987
   1.701687,    5.588143
   1.708300,    3.795830
   1.755645,    0.934857
   1.899748,    0.582348
