CLe, Neutral Point
  -0.816510,    0.199162
  -0.708957,    0.209416
  -0.601561,    0.229760
  -0.494323,    0.249759
  -0.387242,    0.269012
  -0.280304,    0.287465
  -0.173512,    0.302267
  -0.066874,    0.313279
   0.039976,    0.332331
   0.146380,    0.350957
   0.252633,    0.360057
   0.358745,    0.368714
   0.464707,    0.377448
   0.570514,    0.385752
   0.676166,    0.393472
   0.781667,    0.400199
   0.887030,    0.406346
   0.992246,    0.412396
   1.097310,    0.418134
   1.202223,    0.423328
   1.306986,    0.428111
   1.411307,    0.449200
   1.504001,    0.537943
   1.567265,    0.919179
   1.596608,    3.634635
   1.602057,    6.890687
   1.608063,    4.581260
