CLe, Neutral Point
  -0.847397,    0.201564
  -0.735773,    0.211089
  -0.624312,    0.230035
  -0.513015,    0.248740
  -0.401882,    0.266835
  -0.290902,    0.284250
  -0.180076,    0.298295
  -0.069413,    0.308851
   0.041466,    0.326888
   0.151877,    0.344534
   0.262127,    0.353351
   0.372226,    0.361759
   0.482163,    0.370242
   0.591933,    0.378327
   0.701537,    0.385862
   0.810979,    0.392445
   0.920271,    0.398463
   1.029404,    0.404385
   1.138373,    0.410003
   1.247179,    0.415088
   1.355823,    0.419722
   1.464002,    0.438805
   1.560126,    0.517749
   1.625751,    0.856558
   1.656241,    3.213437
   1.662002,    6.059105
   1.668373,    4.078312
   1.714631,    0.955453
   1.855599,    0.578823
