CLe, Neutral Point
  -0.810882,    0.213376
  -0.704210,    0.222844
  -0.597667,    0.241632
  -0.491251,    0.260095
  -0.384966,    0.277882
  -0.278799,    0.294938
  -0.172753,    0.308259
  -0.066835,    0.317699
   0.039318,    0.335291
   0.145051,    0.352488
   0.250658,    0.360122
   0.356146,    0.367323
   0.461507,    0.374546
   0.566737,    0.381328
   0.671836,    0.387549
   0.776806,    0.392860
   0.881659,    0.397622
   0.986386,    0.402230
   1.090984,    0.406513
   1.195453,    0.410272
   1.299795,    0.413683
   1.403714,    0.433504
   1.496071,    0.521231
   1.559115,    0.903645
   1.588351,    3.659606
   1.593750,    6.990395
