CLe, Neutral Point
  -0.834340,    0.197598
  -0.734481,    0.206371
  -0.634756,    0.223319
  -0.535148,    0.239919
  -0.435671,    0.256922
  -0.336334,    0.273765
  -0.237134,    0.289633
  -0.138050,    0.302323
  -0.039102,    0.309531
   0.060096,    0.325670
   0.158840,    0.343690
   0.257464,    0.351857
   0.355951,    0.360212
   0.454298,    0.368200
   0.552513,    0.375307
   0.650606,    0.382163
   0.748560,    0.389004
   0.846376,    0.395172
   0.944065,    0.400641
   1.041629,    0.405984
   1.139055,    0.411167
   1.236345,    0.415604
   1.333512,    0.419698
   1.430439,    0.430595
   1.520674,    0.478805
   1.591665,    0.617339
   1.637257,    1.035167
   1.658685,    3.322568
   1.664543,    6.179211
   1.670729,    4.487487
   1.699688,    1.410028
   1.781700,    0.740152
   1.954918,    0.507380
   2.264071,    0.446687
