CLe, Neutral Point
  -0.803839,    0.194846
  -0.707633,    0.204292
  -0.611556,    0.222464
  -0.515591,    0.240187
  -0.419750,    0.258341
  -0.324044,    0.276277
  -0.228467,    0.293083
  -0.133000,    0.306436
  -0.037660,    0.313868
   0.057923,    0.330907
   0.153073,    0.349968
   0.248111,    0.358401
   0.343021,    0.367029
   0.437801,    0.375251
   0.532459,    0.382537
   0.627003,    0.389557
   0.721418,    0.396554
   0.815706,    0.402849
   0.909876,    0.408425
   1.003930,    0.413870
   1.097857,    0.419144
   1.191660,    0.423665
   1.285348,    0.427875
   1.378810,    0.439806
   1.465822,    0.493617
   1.534270,    0.649409
   1.578202,    1.122869
   1.598802,    3.743830
   1.604350,    6.990658
