CLe, Neutral Point
  -0.854711,    0.208082
  -0.752413,    0.216445
  -0.650251,    0.232646
  -0.548210,    0.248556
  -0.446304,    0.264852
  -0.344542,    0.281022
  -0.242922,    0.296307
  -0.141423,    0.308580
  -0.040064,    0.315638
   0.061547,    0.331214
   0.162692,    0.348585
   0.263710,    0.356573
   0.364587,    0.364745
   0.465316,    0.372573
   0.565907,    0.379552
   0.666370,    0.386290
   0.766688,    0.393016
   0.866860,    0.399089
   0.966899,    0.404474
   1.066807,    0.409736
   1.166569,    0.414845
   1.266189,    0.419213
   1.365679,    0.423220
   1.464920,    0.433482
   1.557308,    0.478320
   1.629998,    0.606536
   1.676698,    0.991329
   1.698680,    3.084459
   1.704744,    5.714574
   1.711161,    4.186564
   1.740820,    1.364085
   1.824665,    0.737144
   2.001744,    0.517382
   2.317757,    0.460273
