CLe, Neutral Point
  -0.816401,    0.199186
  -0.708862,    0.209442
  -0.601481,    0.229791
  -0.494257,    0.249795
  -0.387190,    0.269052
  -0.280267,    0.287508
  -0.173489,    0.302313
  -0.066865,    0.313327
   0.039971,    0.332383
   0.146361,    0.351012
   0.252599,    0.360113
   0.358698,    0.368771
   0.464645,    0.377506
   0.570438,    0.385811
   0.676077,    0.393531
   0.781564,    0.400258
   0.886913,    0.406406
   0.992115,    0.412456
   1.097165,    0.418194
   1.202064,    0.423389
   1.306814,    0.428172
   1.411120,    0.449268
   1.503803,    0.538048
   1.567059,    0.919444
   1.596398,    3.636277
   1.601846,    6.893909
   1.607850,    4.583217
