V (EAS), 
  77.090747,    0.000000
  77.090747,    1.000000
  82.068572,    1.133399
  87.046397,    1.275061
  92.024222,    1.425061
  97.002047,    1.583401
 101.979872,    1.750081
 106.957698,    1.925100
 111.935523,    2.108459
 116.913348,    2.300157
 121.891173,    2.500000
 236.519120,    2.500000
 295.648900,    2.500000
 295.648900,    0.000000
 236.519120,   -1.000000
  96.131883,   -1.000000
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000078
  96.131883,   -1.000000
  96.131883,    0.000000
