eta, Cm
   0.000000,    0.221859
   0.020408,    0.214599
   0.040816,    0.208060
   0.061224,    0.201306
   0.081633,    0.194280
   0.102041,    0.186950
   0.122449,    0.179296
   0.142857,    0.171306
   0.163265,    0.162969
   0.183673,    0.154281
   0.204082,    0.145239
   0.224490,    0.135840
   0.244898,    0.126084
   0.265306,    0.115971
   0.285714,    0.105502
   0.306122,    0.094680
   0.326531,    0.083507
   0.346939,    0.071987
   0.367347,    0.060127
   0.387755,    0.047932
   0.408163,    0.035411
   0.428571,    0.022574
   0.448980,    0.009433
   0.469388,   -0.003998
   0.489796,   -0.017702
   0.510204,   -0.031657
   0.530612,   -0.045839
   0.551020,   -0.060219
   0.571429,   -0.074760
   0.591837,   -0.089423
   0.612245,   -0.104157
   0.632653,   -0.118903
   0.653061,   -0.133592
   0.673469,   -0.148141
   0.693878,   -0.162450
   0.714286,   -0.176401
   0.734694,   -0.189851
   0.755102,   -0.202629
   0.775510,   -0.214527
   0.795918,   -0.225292
   0.816327,   -0.234613
   0.836735,   -0.242100
   0.857143,   -0.247262
   0.877551,   -0.249457
   0.897959,   -0.247820
   0.918367,   -0.241121
   0.938776,   -0.227469
   0.959184,   -0.203556
   0.979592,   -0.161967
   1.000000,    0.000000
