alpha body, CL_e
 -10.000000,   -0.391844
  -9.090909,   -0.312264
  -8.181818,   -0.232443
  -7.272727,   -0.152384
  -6.363636,   -0.072088
  -5.454545,    0.008444
  -4.545455,    0.089210
  -3.636364,    0.170211
  -2.727273,    0.251445
  -1.818182,    0.333993
  -0.909091,    0.414668
  -0.000000,    0.495578
   0.909091,    0.576724
   1.818182,    0.658108
   2.727273,    0.739730
   3.636364,    0.821593
   4.545455,    0.903696
   5.454545,    0.986044
   6.363636,    1.068636
   7.272727,    1.151475
   8.181818,    1.234562
   9.090909,    1.317902
  10.000000,    1.401495
  10.909091,    1.482959
  11.818182,    1.552796
  12.727273,    1.604026
  13.636364,    1.634648
  14.545455,    1.647702
  15.454545,    1.651244
