alpha body, CL_e
 -10.000000,   -0.366794
  -9.090909,   -0.288853
  -8.181818,   -0.210918
  -7.272727,   -0.132988
  -6.363636,   -0.055060
  -5.454545,    0.022867
  -4.545455,    0.100797
  -3.636364,    0.178730
  -2.727273,    0.256670
  -1.818182,    0.335659
  -0.909091,    0.412625
  -0.000000,    0.489605
   0.909091,    0.566600
   1.818182,    0.643614
   2.727273,    0.720647
   3.636364,    0.797703
   4.545455,    0.874784
   5.454545,    0.951892
   6.363636,    1.029030
   7.272727,    1.106199
   8.181818,    1.183402
