eta, total load
   0.000000, 36460.196211
   0.020408, 35909.127611
   0.040816, 35861.377952
   0.061224, 35768.993829
   0.081633, 35628.358166
   0.102041, 35437.680661
   0.122449, 35196.055546
   0.142857, 34903.075834
   0.163265, 34558.643137
   0.183673, 34162.874723
   0.204082, 33716.075932
   0.224490, 33218.774172
   0.244898, 32671.832073
   0.265306, 32076.686359
   0.285714, 31435.816858
   0.306122, 30753.713803
   0.326531, 30019.954381
   0.346939, 29162.679441
   0.367347, 28590.888429
   0.387755, 27877.178788
   0.408163, 27157.094654
   0.428571, 26429.228144
   0.448980, 25693.525993
   0.469388, 24950.512140
   0.489796, 24200.984313
   0.510204, 23445.721032
   0.530612, 22685.712759
   0.551020, 21922.101446
   0.571429, 21155.857675
   0.591837, 20387.914216
   0.612245, 19619.151115
   0.632653, 18850.381543
   0.653061, 18082.336099
   0.673469, 17315.643314
   0.693878, 16550.803635
   0.714286, 15788.153241
   0.734694, 15027.812321
   0.755102, 14269.609589
   0.775510, 13512.969970
   0.795918, 12756.744109
   0.816327, 11998.943622
   0.836735, 11236.319258
   0.857143, 10463.667912
   0.877551, 9672.651752
   0.897959, 8849.692250
   0.918367, 7971.985401
   0.938776, 6999.310013
   0.959184, 5854.750232
   0.979592, 4362.673140
   1.000000,    0.000000
