eta, total load
   0.000000, 76423.426577
   0.020408, 75270.577519
   0.040816, 75176.980052
   0.061224, 74993.941131
   0.081633, 74713.927557
   0.102041, 74333.332321
   0.122449, 73850.488718
   0.142857, 73264.867324
   0.163265, 72576.692917
   0.183673, 71786.775626
   0.204082, 70896.492870
   0.224490, 69907.921023
   0.244898, 68824.166506
   0.265306, 67650.018808
   0.285714, 66393.197476
   0.306122, 65066.887910
   0.326531, 63654.977479
   0.346939, 62016.509402
   0.367347, 61046.222729
   0.387755, 59814.437409
   0.408163, 58594.688403
   0.428571, 57376.696652
   0.448980, 56155.224223
   0.469388, 54927.383929
   0.489796, 53691.561435
   0.510204, 52446.752046
   0.530612, 51192.502345
   0.551020, 49928.769241
   0.571429, 48655.519743
   0.591837, 47372.764396
   0.612245, 46080.484621
   0.632653, 44778.564997
   0.653061, 43466.722086
   0.673469, 42144.421552
   0.693878, 40810.773789
   0.714286, 39464.395001
   0.734694, 38103.214770
   0.755102, 36724.201224
   0.775510, 35322.958164
   0.795918, 33893.119736
   0.816327, 32425.417514
   0.836735, 30906.202401
   0.857143, 29315.027836
   0.877551, 27620.548647
   0.897959, 25773.236907
   0.918367, 23691.658908
   0.938776, 21234.404612
   0.959184, 18134.450878
   0.979592, 13790.068903
   1.000000,    0.000000
