eta, total load
   0.000000, 26469.388619
   0.020408, 26068.765135
   0.040816, 26032.477427
   0.061224, 25962.757004
   0.081633, 25856.965818
   0.102041, 25713.767747
   0.122449, 25532.447253
   0.142857, 25312.627962
   0.163265, 25054.130692
   0.183673, 24756.899497
   0.204082, 24420.971697
   0.224490, 24046.487459
   0.244898, 23633.748465
   0.265306, 23183.353247
   0.285714, 22696.471704
   0.306122, 22175.420276
   0.326531, 21611.198607
   0.346939, 20949.221950
   0.367347, 20477.054854
   0.387755, 19892.864133
   0.408163, 19297.696217
   0.428571, 18692.361017
   0.448980, 18078.101435
   0.469388, 17456.294192
   0.489796, 16828.340033
   0.510204, 16195.463279
   0.530612, 15559.015362
   0.551020, 14920.434497
   0.571429, 14280.942158
   0.591837, 13641.701671
   0.612245, 13003.817738
   0.632653, 12368.335679
   0.653061, 11736.239603
   0.673469, 11108.448755
   0.693878, 10485.811097
   0.714286, 9869.092801
   0.734694, 9258.961709
   0.755102, 8655.961680
   0.775510, 8060.472922
   0.795918, 7472.650202
   0.816327, 6892.325149
   0.836735, 6318.848472
   0.857143, 5750.827931
   0.877551, 5185.677528
   0.897959, 4618.806086
   0.918367, 4042.067024
   0.938776, 3440.536363
   0.959184, 2784.825071
   0.979592, 2005.824199
   1.000000,    0.000000
