alpha_b, CM
  -4.000000,   -0.000958
  -3.517241,   -0.000876
  -3.034483,   -0.000793
  -2.551724,   -0.000711
  -2.068966,   -0.000629
  -1.586207,   -0.000546
  -1.103448,   -0.000464
  -0.620690,   -0.000382
  -0.137931,   -0.000299
   0.344828,   -0.000217
   0.827586,   -0.000135
   1.310345,   -0.000052
   1.793103,    0.000030
   2.275862,    0.000112
   2.758621,    0.000195
   3.241379,    0.000277
   3.724138,    0.000359
   4.206897,    0.000442
   4.689655,    0.000524
   5.172414,    0.000606
   5.655172,    0.000689
   6.137931,    0.000771
   6.620690,    0.000853
   7.103448,    0.000936
   7.586207,    0.001018
   8.068966,    0.001100
   8.551724,    0.001183
   9.034483,    0.001265
   9.517241,    0.001347
  10.000000,    0.001430
