CLe, Static Stability Margin
   1.298138,    0.238008
   1.388542,    0.241338
   1.479100,    0.247945
   1.569811,    0.254440
   1.660673,    0.263127
   1.751811,    0.269308
   1.842961,    0.273159
   1.934260,    0.279379
   2.025708,    0.285470
   2.117302,    0.291437
   2.209043,    0.292737
   2.300929,    0.287228
   2.392960,    0.284172
   2.485134,    0.285673
   2.577453,    0.285870
   2.669915,    0.276520
   2.762520,    0.246554
   2.855267,    0.192937
   2.948153,    0.117818
   3.041175,    0.028516
   3.134332,   -0.046168
   3.227623,   -0.004595
   3.321055,    0.072893
   3.411896,    0.070564
   3.492727,    0.038359
   3.557761,   -0.026595
   3.603683,   -0.169030
   3.629661,   -0.738248
   3.637358,    0.109405
   3.630938,    1.426829
