V (EAS), 
  71.256185,    0.000000
  71.256185,    1.000000
  75.857267,    1.133311
  80.458349,    1.274961
  85.059431,    1.424950
  89.660513,    1.583278
  94.261594,    1.749945
  98.862676,    1.924950
 103.463758,    2.108295
 108.064840,    2.299978
 112.665922,    2.500000
 181.938075,    2.500000
 227.422594,    2.500000
 227.422594,    0.000000
 181.938075,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,   -1.000000
  90.413963,    0.000000
