CD, CL
   0.012413,   -0.058099
   0.011288,   -0.032880
   0.010387,   -0.010807
   0.009565,    0.011183
   0.008823,    0.033083
   0.008157,    0.054905
   0.007568,    0.076649
   0.007055,    0.098318
   0.006619,    0.119911
   0.006256,    0.141422
   0.005967,    0.162861
   0.005749,    0.184230
   0.005605,    0.205531
   0.005533,    0.226764
   0.005532,    0.247922
   0.005600,    0.269015
   0.005737,    0.290045
   0.005942,    0.311013
   0.006218,    0.331921
   0.006561,    0.352763
   0.006973,    0.373672
   0.007471,    0.395287
   0.008057,    0.417463
   0.008725,    0.439721
   0.009475,    0.462091
   0.010467,    0.488673
