CD, CL
   0.018213,   -0.978814
   0.017088,   -0.953595
   0.016187,   -0.931522
   0.015365,   -0.909532
   0.014623,   -0.887631
   0.013957,   -0.865810
   0.013368,   -0.844065
   0.012855,   -0.822397
   0.012419,   -0.800803
   0.012056,   -0.779293
   0.011767,   -0.757853
   0.011549,   -0.736484
   0.011405,   -0.715184
   0.011333,   -0.693951
   0.011332,   -0.672793
   0.011400,   -0.651699
   0.011537,   -0.630670
   0.011742,   -0.609701
   0.012018,   -0.588794
   0.012361,   -0.567952
   0.012773,   -0.547042
   0.013271,   -0.525428
   0.013857,   -0.503252
   0.014525,   -0.480994
   0.015275,   -0.458623
   0.016267,   -0.432042
