CLe, Neutral Point
   0.856119,    0.184667
   0.946913,    0.181222
   1.037867,    0.174384
   1.128980,    0.167656
   1.220250,    0.158730
   1.311803,    0.152313
   1.403374,    0.148229
   1.495101,    0.141769
   1.586983,    0.135437
   1.679017,    0.129226
   1.771206,    0.127659
   1.863546,    0.132865
   1.956039,    0.135628
   2.048682,    0.133754
   2.141217,    0.131019
   2.228458,    0.133988
   2.302369,    0.165366
   2.357662,    0.282805
   2.392017,    0.800543
   2.406099,   -4.017638
   2.403574,   -5.731691
   2.391126,   -1.694743
   2.378491, -171.164063
   2.378445, -170.187965
   2.406821,    0.581226
   2.482520,    0.342937
   2.627512,    0.259664
   2.866844,    0.216183
   3.228649,    0.188491
   3.744155,    0.177164
