Ground Distance, Mach number
   0.000000,    0.000001
   0.016710,    0.000894
   0.183425,    0.001783
   0.368636,    0.002671
   0.553847,    0.003559
   0.739059,    0.004448
   0.924270,    0.005336
   1.109481,    0.006224
   1.294692,    0.007113
   1.479903,    0.008001
   1.665114,    0.008889
   1.850325,    0.009778
   2.302802,    0.010657
   2.788649,    0.011536
   3.274497,    0.012414
   3.760344,    0.013293
   4.246191,    0.014171
   4.732039,    0.015050
   5.217886,    0.015929
   5.703734,    0.016807
   6.189581,    0.017686
   6.675428,    0.018564
   7.425528,    0.019434
   8.208622,    0.020302
   8.991715,    0.021171
   9.774809,    0.022039
  10.557903,    0.022907
  11.340997,    0.023776
  12.124090,    0.024644
  12.907184,    0.025513
  13.690278,    0.026381
  14.473372,    0.027250
  15.517622,    0.028109
  16.594479,    0.028967
  17.671337,    0.029825
  18.748195,    0.030683
  19.825052,    0.031541
  20.901910,    0.032399
  21.978768,    0.033257
  23.055626,    0.034115
  24.132483,    0.034973
  25.209341,    0.035831
  26.544182,    0.036680
  27.911234,    0.037527
  29.278286,    0.038375
  30.645338,    0.039222
  32.012390,    0.040070
  33.379442,    0.040917
  34.746494,    0.041765
  36.113546,    0.042612
  37.480599,    0.043460
  38.847651,    0.044307
  40.469440,    0.045145
  42.123036,    0.045981
  43.776632,    0.046818
  45.430228,    0.047654
  47.083824,    0.048491
  48.737419,    0.049327
  50.391015,    0.050163
  52.044611,    0.051000
  53.698207,    0.051836
  55.351803,    0.052673
  57.256362,    0.053497
  59.192256,    0.054319
  61.128151,    0.055141
  63.064045,    0.055963
  64.999939,    0.056785
  66.935834,    0.057607
  68.871728,    0.058429
  70.807622,    0.059251
  72.743516,    0.060073
  74.679411,    0.060896
  76.861703,    0.061704
  79.074761,    0.062511
  81.287818,    0.063318
  83.500876,    0.064125
  85.713933,    0.064931
  87.926991,    0.065738
  90.140048,    0.066545
  92.353106,    0.067352
  94.566163,    0.068159
  96.779221,    0.068966
  99.234050,    0.069759
 101.719067,    0.070550
 104.204085,    0.071342
 106.689102,    0.072134
 109.174119,    0.072925
 111.659136,    0.073717
 114.144153,    0.074508
 116.629171,    0.075300
 119.114188,    0.076091
 121.599205,    0.076883
 124.321358,    0.077661
 127.073121,    0.078437
 129.824883,    0.079213
 132.576645,    0.079989
 135.328408,    0.080765
 138.080170,    0.081542
 140.831932,    0.082318
 143.583695,    0.083094
 146.335457,    0.083870
