eta, Cm
   0.000000,   -0.169433
   0.020408,   -0.168315
   0.040816,   -0.167211
   0.061224,   -0.166017
   0.081633,   -0.164733
   0.102041,   -0.163358
   0.122449,   -0.161891
   0.142857,   -0.160328
   0.163265,   -0.158666
   0.183673,   -0.156901
   0.204082,   -0.155029
   0.224490,   -0.153044
   0.244898,   -0.150941
   0.265306,   -0.148712
   0.285714,   -0.146352
   0.306122,   -0.144685
   0.326531,   -0.144910
   0.346939,   -0.145163
   0.367347,   -0.145438
   0.387755,   -0.145735
   0.408163,   -0.146054
   0.428571,   -0.146396
   0.448980,   -0.146761
   0.469388,   -0.147150
   0.489796,   -0.147563
   0.510204,   -0.148001
   0.530612,   -0.148464
   0.551020,   -0.148952
   0.571429,   -0.149467
   0.591837,   -0.150008
   0.612245,   -0.150576
   0.632653,   -0.151171
   0.653061,   -0.151793
   0.673469,   -0.152442
   0.693878,   -0.153117
   0.714286,   -0.153816
   0.734694,   -0.154538
   0.755102,   -0.155279
   0.775510,   -0.156034
   0.795918,   -0.156796
   0.816327,   -0.157554
   0.836735,   -0.158292
   0.857143,   -0.158987
   0.877551,   -0.159602
   0.897959,   -0.160085
   0.918367,   -0.160346
   0.938776,   -0.160240
   0.959184,   -0.159491
   0.979592,   -0.157482
   1.000000,    0.000000
