eta, Cm
   0.000000,   -0.161845
   0.020408,   -0.161363
   0.040816,   -0.160887
   0.061224,   -0.160372
   0.081633,   -0.159818
   0.102041,   -0.159225
   0.122449,   -0.158593
   0.142857,   -0.157919
   0.163265,   -0.157204
   0.183673,   -0.156444
   0.204082,   -0.155640
   0.224490,   -0.154789
   0.244898,   -0.153888
   0.265306,   -0.152935
   0.285714,   -0.151930
   0.306122,   -0.151179
   0.326531,   -0.151132
   0.346939,   -0.151097
   0.367347,   -0.151071
   0.387755,   -0.151054
   0.408163,   -0.151046
   0.428571,   -0.151046
   0.448980,   -0.151055
   0.469388,   -0.151072
   0.489796,   -0.151097
   0.510204,   -0.151131
   0.530612,   -0.151173
   0.551020,   -0.151223
   0.571429,   -0.151281
   0.591837,   -0.151347
   0.612245,   -0.151422
   0.632653,   -0.151504
   0.653061,   -0.151593
   0.673469,   -0.151690
   0.693878,   -0.151794
   0.714286,   -0.151903
   0.734694,   -0.152017
   0.755102,   -0.152134
   0.775510,   -0.152253
   0.795918,   -0.152370
   0.816327,   -0.152481
   0.836735,   -0.152579
   0.857143,   -0.152657
   0.877551,   -0.152701
   0.897959,   -0.152692
   0.918367,   -0.152596
   0.938776,   -0.152362
   0.959184,   -0.151891
   0.979592,   -0.150959
   1.000000,    0.000000
