alpha, CL
   0.000000,    0.185341
   1.578947,    0.239948
   3.157895,    0.294556
   4.736842,    0.349164
   6.315789,    0.403772
   7.894737,    0.458380
   9.473684,    0.512987
  11.052632,    0.567595
  12.631579,    0.622137
  14.210526,    0.676313
  15.789474,    0.729777
  17.368421,    0.782196
  18.947368,    0.833248
  20.526316,    0.882619
  22.105263,    0.930008
  23.684211,    0.975126
  25.263158,    1.017691
  26.842105,    1.057436
  28.421053,    1.094101
  30.000000,    1.127439
