alpha, CL
   0.000000,    0.046335
   1.578947,    0.100943
   3.157895,    0.155551
   4.736842,    0.210159
   6.315789,    0.264766
   7.894737,    0.319374
   9.473684,    0.373982
  11.052632,    0.428590
  12.631579,    0.483132
  14.210526,    0.537307
  15.789474,    0.590771
  17.368421,    0.643191
  18.947368,    0.694242
  20.526316,    0.743613
  22.105263,    0.791003
  23.684211,    0.836120
  25.263158,    0.878686
  26.842105,    0.918430
  28.421053,    0.955095
  30.000000,    0.988433
