alpha, CL
   0.000000,    0.390671
   1.578947,    0.445279
   3.157895,    0.499887
   4.736842,    0.554495
   6.315789,    0.609103
   7.894737,    0.663710
   9.473684,    0.718318
  11.052632,    0.772926
  12.631579,    0.827468
  14.210526,    0.881643
  15.789474,    0.935108
  17.368421,    0.987527
  18.947368,    1.038578
  20.526316,    1.087950
  22.105263,    1.135339
  23.684211,    1.180457
  25.263158,    1.223022
  26.842105,    1.262766
  28.421053,    1.299431
  30.000000,    1.332770
