eta, M
   0.000000, -28163.272907
   0.020408, -27166.231347
   0.040816, -26189.981373
   0.061224, -25228.566832
   0.081633, -24282.495385
   0.102041, -23352.157992
   0.122449, -22437.876161
   0.142857, -21539.923766
   0.163265, -20658.539627
   0.183673, -19793.935673
   0.204082, -18946.302650
   0.224490, -18115.814300
   0.244898, -17302.630404
   0.265306, -16506.898445
   0.285714, -15728.871580
   0.306122, -15055.864550
   0.326531, -14597.441809
   0.346939, -14147.296704
   0.367347, -13705.034605
   0.387755, -13270.569114
   0.408163, -12843.821834
   0.428571, -12424.720737
   0.448980, -12013.199204
   0.469388, -11609.195234
   0.489796, -11212.650762
   0.510204, -10823.511577
   0.530612, -10441.725436
   0.551020, -10067.241997
   0.571429, -9700.013299
   0.591837, -9339.992643
   0.612245, -8987.134096
   0.632653, -8641.391956
   0.653061, -8302.720132
   0.673469, -7971.071415
   0.693878, -7646.396574
   0.714286, -7328.643187
   0.734694, -7017.754106
   0.755102, -6713.665351
   0.775510, -6416.303166
   0.795918, -6125.579790
   0.816327, -5841.387184
   0.836735, -5563.587456
   0.857143, -5291.997686
   0.877551, -5026.364800
   0.897959, -4766.321570
   0.918367, -4511.303607
   0.938776, -4260.375157
   0.959184, -4011.796164
   0.979592, -3761.545738
   1.000000,    0.000000
