eta, M
   0.000000, -29266.261890
   0.020408, -28143.214679
   0.040816, -27048.492501
   0.061224, -25968.279417
   0.081633, -24903.722209
   0.102041, -23855.696334
   0.122449, -22824.914868
   0.142857, -21811.978276
   0.163265, -20817.402499
   0.183673, -19841.636402
   0.204082, -18885.072960
   0.224490, -17948.055944
   0.244898, -17030.882221
   0.265306, -16133.797314
   0.285714, -15257.252774
   0.306122, -14528.543469
   0.326531, -14107.721570
   0.346939, -13694.768297
   0.367347, -13288.949552
   0.387755, -12890.187212
   0.408163, -12498.396515
   0.428571, -12113.492115
   0.448980, -11735.390437
   0.469388, -11364.010487
   0.489796, -10999.273943
   0.510204, -10641.105872
   0.530612, -10289.431906
   0.551020, -9944.178235
   0.571429, -9605.272778
   0.591837, -9272.643231
   0.612245, -8946.216108
   0.632653, -8625.915570
   0.653061, -8311.661992
   0.673469, -8003.370138
   0.693878, -7700.946807
   0.714286, -7404.287705
   0.734694, -7113.273223
   0.755102, -6827.762601
   0.775510, -6547.585688
   0.795918, -6272.531021
   0.816327, -6002.328146
   0.836735, -5736.620574
   0.857143, -5474.922936
   0.877551, -5216.550089
   0.897959, -4960.493142
   0.918367, -4705.185987
   0.938776, -4448.016302
   0.959184, -4184.113323
   0.979592, -3902.225485
   1.000000,    0.000000
