eta, M
   0.000000, -27887.525661
   0.020408, -26921.985514
   0.040816, -25975.353590
   0.061224, -25043.638686
   0.081633, -24127.188679
   0.102041, -23226.273406
   0.122449, -22341.116485
   0.142857, -21471.910138
   0.163265, -20618.823909
   0.183673, -19782.010491
   0.204082, -18961.610072
   0.224490, -18157.753889
   0.244898, -17370.567450
   0.265306, -16600.173727
   0.285714, -15846.776282
   0.306122, -15187.694820
   0.326531, -14719.871869
   0.346939, -14260.428805
   0.367347, -13809.055868
   0.387755, -13365.664589
   0.408163, -12930.178164
   0.428571, -12502.527893
   0.448980, -12082.651395
   0.469388, -11670.491421
   0.489796, -11265.994966
   0.510204, -10869.113004
   0.530612, -10479.798819
   0.551020, -10098.007938
   0.571429, -9723.698429
   0.591837, -9356.829995
   0.612245, -8997.363593
   0.632653, -8645.261053
   0.653061, -8300.484667
   0.673469, -7962.996734
   0.693878, -7632.759015
   0.714286, -7309.732058
   0.734694, -6993.874327
   0.755102, -6685.141038
   0.775510, -6383.482536
   0.795918, -6088.841983
   0.816327, -5801.151944
   0.836735, -5520.329176
   0.857143, -5246.266373
   0.877551, -4978.818478
   0.897959, -4717.778677
   0.918367, -4462.833012
   0.938776, -4213.464871
   0.959184, -3968.716874
   0.979592, -3726.375801
   1.000000,    0.000000
