Ground Distance, 
   0.000000,  122.501578
 798.535319,  122.501578
 833.119370,  120.931044
 867.703421,  119.360511
 902.287472,  117.789978
 936.871523,  116.219445
 971.455575,  114.648912
1006.039626,  113.078379
1040.623677,  111.507846
1075.207728,  109.937313
1109.791779,  108.366780
1112.412989,  108.338232
1138.587154,  108.053315
1319.299831,  106.093433
1355.047701,  105.707221
1390.665519,  105.322895
1426.153920,  104.940442
1461.513533,  104.559845
1468.570056,  104.483947
1468.740060,  104.482119
1468.862985,  104.480797
1468.923588,  104.480145
1468.962129,  104.479730
1468.975561,  104.479586
1468.979852,  104.479540
1468.982028,  104.479516
1468.983679,  104.479471
1468.985168,  104.479428
1469.000053,  104.478999
1469.148901,  104.474704
1470.637044,  104.431722
1485.484638,  103.998704
1600.062703,  100.380517
1630.427105,   99.330836
1669.762249,   97.907077
1784.269820,   93.292850
1891.034251,   88.218047
1986.530715,   82.847287
2071.127405,   77.213446
2145.488983,   71.340667
2210.343672,   65.250120
2266.421038,   58.959928
2270.941016,   58.399623
2273.377541,   58.093791
2275.593251,   57.813353
2297.154207,   54.960758
2314.349244,   52.505613
2325.322875,   50.842007
2330.862580,   49.970288
2337.684278,   48.864882
2375.132264,   42.027364
2381.973092,   40.602142
2388.459927,   39.186298
2389.956926,   38.849870
2391.604607,   38.475177
2407.194898,   34.672985
2433.759325,   26.653609
2439.336888,   24.576170
2443.830822,   22.745478
2448.155687,   20.813523
2449.736078,   20.056208
2450.692544,   19.582285
2451.035844,   19.409103
2451.411204,   19.217789
2454.959609,   17.294497
2466.148899,    8.526288
2467.746180,    6.292645
2468.600162,    4.667026
2469.143071,    3.224681
2469.465454,    1.900334
2469.614636,    0.677694
2469.627264,    0.438012
2469.633443,    0.246817
2469.635759,    0.108781
2469.636280,    0.028135
2469.636316,   -0.004356
