CD, CL
   0.040850,    0.645786
   0.038980,    0.736947
   0.037551,    0.828045
   0.036548,    0.919087
   0.036006,    1.010073
   0.035902,    1.101006
   0.036267,    1.191888
   0.037097,    1.282720
   0.038403,    1.373505
   0.040200,    1.464244
   0.042485,    1.554939
   0.045285,    1.645827
   0.048608,    1.737018
   0.052471,    1.828270
   0.056882,    1.919339
   0.061843,    2.005388
   0.067398,    2.079286
   0.073602,    2.136727
   0.080531,    2.176172
   0.088294,    2.198835
   0.096975,    2.208426
   0.106574,    2.210278
   0.116416,    2.208408
   0.126349,    2.217909
   0.135976,    2.254132
   0.144844,    2.334652
   0.152570,    2.479745
   0.158867,    2.712387
   0.163564,    3.058250
   0.166656,    3.545710
