CD, CL
   0.036750,    0.869134
   0.034880,    0.960295
   0.033451,    1.051393
   0.032448,    1.142434
   0.031905,    1.233420
   0.031802,    1.324353
   0.032167,    1.415235
   0.032997,    1.506068
   0.034302,    1.596853
   0.036100,    1.687592
   0.038384,    1.778287
   0.041184,    1.869174
   0.044508,    1.960366
   0.048371,    2.051617
   0.052782,    2.142686
   0.057742,    2.228735
   0.063297,    2.302634
   0.069501,    2.360074
   0.076430,    2.399520
   0.084194,    2.422182
   0.092875,    2.431773
   0.102474,    2.433625
   0.112315,    2.431756
   0.122248,    2.441256
   0.131876,    2.477479
   0.140744,    2.558000
   0.148469,    2.703093
   0.154766,    2.935734
   0.159464,    3.281598
   0.162556,    3.769057
