alpha body, CL_e
  -4.000000,   -0.039008
  -3.517241,    0.014185
  -3.034483,    0.067397
  -2.551724,    0.120628
  -2.068966,    0.173877
  -1.586207,    0.227145
  -1.103448,    0.280431
  -0.620690,    0.333736
  -0.137931,    0.387058
   0.344828,    0.444861
   0.827586,    0.497092
   1.310345,    0.549340
   1.793103,    0.601605
   2.275862,    0.653887
   2.758621,    0.706186
   3.241379,    0.758501
   3.724138,    0.810832
   4.206897,    0.863179
   4.689655,    0.915542
   5.172414,    0.967920
   5.655172,    1.020314
   6.137931,    1.072721
   6.620690,    1.125144
   7.103448,    1.177580
   7.586207,    1.230030
   8.068966,    1.282494
   8.551724,    1.334971
   9.034483,    1.387461
   9.517241,    1.439963
  10.000000,    1.491878
