alpha body, CL_e
  -4.000000,   -0.041906
  -3.517241,    0.015101
  -3.034483,    0.072130
  -2.551724,    0.129181
  -2.068966,    0.186255
  -1.586207,    0.243350
  -1.103448,    0.300467
  -0.620690,    0.357605
  -0.137931,    0.414765
   0.344828,    0.476727
   0.827586,    0.532721
   1.310345,    0.588735
   1.793103,    0.644770
   2.275862,    0.700825
   2.758621,    0.756900
   3.241379,    0.812995
   3.724138,    0.869110
   4.206897,    0.925244
   4.689655,    0.981397
   5.172414,    1.037569
   5.655172,    1.093760
   6.137931,    1.149969
   6.620690,    1.206197
   7.103448,    1.262442
   7.586207,    1.318705
   8.068966,    1.374986
   8.551724,    1.431283
   9.034483,    1.487598
   9.517241,    1.543929
  10.000000,    1.599634
