CD, CL
   0.010403,   -0.259163
   0.008995,   -0.221917
   0.007810,   -0.184886
   0.006845,   -0.148048
   0.006098,   -0.111397
   0.005563,   -0.074928
   0.005240,   -0.038633
   0.005124,   -0.002507
   0.005210,    0.033457
   0.005501,    0.069264
   0.005989,    0.104922
   0.006692,    0.141235
   0.007632,    0.178585
   0.008796,    0.216140
   0.010193,    0.253906
   0.011832,    0.292089
   0.013797,    0.332157
   0.016256,    0.376288
   0.019424,    0.426501
   0.023585,    0.484597
   0.029017,    0.551295
   0.035661,    0.623242
   0.041799,    0.683009
   0.048329,    0.741320
   0.055463,    0.800188
   0.063216,    0.859611
   0.071546,    0.919192
   0.080338,    0.978143
   0.089383,    1.035277
   0.098364,    1.089012
