CLh_e, CDh_e
  -0.288053,    0.019775
  -0.270638,    0.018109
  -0.253111,    0.016536
  -0.235473,    0.015057
  -0.217724,    0.013677
  -0.199866,    0.012396
  -0.181898,    0.011215
  -0.163821,    0.010140
  -0.145638,    0.009170
  -0.103257,    0.008307
  -0.090949,    0.007555
  -0.078536,    0.006923
  -0.066019,    0.006402
  -0.053401,    0.005995
  -0.040682,    0.005719
  -0.027862,    0.005568
  -0.014943,    0.005538
  -0.001927,    0.005635
   0.011186,    0.005875
   0.024395,    0.006246
   0.037697,    0.006751
   0.051092,    0.007408
   0.064578,    0.008234
   0.078155,    0.009205
   0.091821,    0.010328
   0.105575,    0.011718
   0.119415,    0.014000
   0.133340,    0.016630
   0.147349,    0.019603
   0.161360,    0.022938
