CLh_e, CDh_e
  -0.273449,    0.019775
  -0.275251,    0.018109
  -0.276958,    0.016536
  -0.278570,    0.015057
  -0.280088,    0.013677
  -0.281513,    0.012396
  -0.282844,    0.011215
  -0.284083,    0.010140
  -0.285233,    0.009170
  -0.263810,    0.008307
  -0.270461,    0.007589
  -0.277024,    0.007016
  -0.283500,    0.006556
  -0.289892,    0.006209
  -0.296199,    0.005994
  -0.302424,    0.005903
  -0.308567,    0.005996
  -0.314631,    0.006220
  -0.320615,    0.006589
  -0.326522,    0.007089
  -0.332354,    0.007723
  -0.338112,    0.008554
  -0.343797,    0.009567
  -0.349411,    0.010725
  -0.354955,    0.012036
  -0.360431,    0.013625
  -0.365841,    0.016384
  -0.371187,    0.019513
  -0.376469,    0.023610
  -0.381552,    0.030853
