alpha body, CL_e
 -10.000000,   -0.774355
  -9.000000,   -0.672528
  -8.000000,   -0.570855
  -7.000000,   -0.469336
  -6.000000,   -0.367971
  -5.000000,   -0.266745
  -4.000000,   -0.165664
  -3.000000,   -0.064736
  -2.000000,    0.036390
  -1.000000,    0.137084
   0.000000,    0.237629
   1.000000,    0.338035
   2.000000,    0.438295
   3.000000,    0.538404
   4.000000,    0.638361
   5.000000,    0.738167
   6.000000,    0.837834
   7.000000,    0.937361
   8.000000,    1.036742
   9.000000,    1.135974
  10.000000,    1.235058
  11.000000,    1.333856
  12.000000,    1.426860
  13.000000,    1.504053
  14.000000,    1.559669
  15.000000,    1.592756
  16.000000,    1.607149
