alpha body, CL_e
 -10.000000,   -0.823721
  -9.090909,   -0.725253
  -8.181818,   -0.626914
  -7.272727,   -0.528696
  -6.363636,   -0.430612
  -5.454545,   -0.332672
  -4.545455,   -0.234867
  -3.636364,   -0.137184
  -2.727273,   -0.039639
  -1.818182,    0.058148
  -0.909091,    0.155478
  -0.000000,    0.252683
   0.909091,    0.349750
   1.818182,    0.446670
   2.727273,    0.543451
   3.636364,    0.640107
   4.545455,    0.736622
   5.454545,    0.832992
   6.363636,    0.929223
   7.272727,    1.025328
   8.181818,    1.121293
   9.090909,    1.217113
  10.000000,    1.312799
  10.909091,    1.408288
  11.818182,    1.499562
  12.727273,    1.578264
  13.636364,    1.638946
  14.545455,    1.679656
  15.454545,    1.701899
  16.363636,    1.710637
  17.272727,    1.714209
  18.181818,    1.723577
  19.090909,    1.753945
  20.000000,    1.824403
