alpha body, CL_e
 -10.000000,   -0.823040
  -9.000000,   -0.714810
  -8.000000,   -0.606742
  -7.000000,   -0.498838
  -6.000000,   -0.391099
  -5.000000,   -0.283512
  -4.000000,   -0.176084
  -3.000000,   -0.068824
  -2.000000,    0.038642
  -1.000000,    0.145640
   0.000000,    0.252471
   1.000000,    0.359147
   2.000000,    0.465658
   3.000000,    0.571999
   4.000000,    0.678167
   5.000000,    0.784163
   6.000000,    0.890002
   7.000000,    0.995679
   8.000000,    1.101190
   9.000000,    1.206530
  10.000000,    1.311700
  11.000000,    1.416552
  12.000000,    1.515249
  13.000000,    1.597174
  14.000000,    1.656228
  15.000000,    1.691424
  16.000000,    1.706848
  17.000000,    1.711625
  18.000000,    1.719146
  19.000000,    1.747948
  20.000000,    1.822851
