alpha body, CL_e
 -10.000000,   -0.779101
  -9.090909,   -0.686092
  -8.181818,   -0.593184
  -7.272727,   -0.500370
  -6.363636,   -0.407662
  -5.454545,   -0.315065
  -4.545455,   -0.222575
  -3.636364,   -0.130179
  -2.727273,   -0.037890
  -1.818182,    0.054651
  -0.909091,    0.146785
  -0.000000,    0.238823
   0.909091,    0.330753
   1.818182,    0.422570
   2.727273,    0.514280
   3.636364,    0.605893
   4.545455,    0.697398
   5.454545,    0.788791
   6.363636,    0.880077
   7.272727,    0.971266
   8.181818,    1.062348
   9.090909,    1.153318
  10.000000,    1.244186
  10.909091,    1.334888
  11.818182,    1.421611
  12.727273,    1.496403
  13.636364,    1.554067
  14.545455,    1.592720
  15.454545,    1.613772
