alpha body, CL_e
 -10.000000,   -0.774247
  -9.090909,   -0.681693
  -8.181818,   -0.589262
  -7.272727,   -0.496943
  -6.363636,   -0.404750
  -5.454545,   -0.312690
  -4.545455,   -0.220755
  -3.636364,   -0.128930
  -2.727273,   -0.037231
  -1.818182,    0.054700
  -0.909091,    0.146207
  -0.000000,    0.237604
   0.909091,    0.328876
   1.818182,    0.420019
   2.727273,    0.511038
   3.636364,    0.601947
   4.545455,    0.692731
   5.454545,    0.783389
   6.363636,    0.873925
   7.272727,    0.964350
   8.181818,    1.054654
   9.090909,    1.144831
  10.000000,    1.234892
  10.909091,    1.324776
  11.818182,    1.410700
  12.727273,    1.484788
  13.636364,    1.541895
  14.545455,    1.580164
  15.454545,    1.601001
