alpha body, CL_e
 -10.000000,   -0.769030
  -9.000000,   -0.668039
  -8.000000,   -0.567175
  -7.000000,   -0.466438
  -6.000000,   -0.365828
  -5.000000,   -0.265334
  -4.000000,   -0.164960
  -3.000000,   -0.064714
  -2.000000,    0.035752
  -1.000000,    0.135813
   0.000000,    0.235749
   1.000000,    0.335567
   2.000000,    0.435262
   3.000000,    0.534829
   4.000000,    0.634267
   5.000000,    0.733577
   6.000000,    0.832770
   7.000000,    0.931842
   8.000000,    1.030790
   9.000000,    1.129611
  10.000000,    1.228306
  11.000000,    1.326736
  12.000000,    1.419412
  13.000000,    1.496351
  14.000000,    1.551792
