alpha body, CL_e
 -10.000000,   -0.804088
  -9.090909,   -0.707968
  -8.181818,   -0.611974
  -7.272727,   -0.516097
  -6.363636,   -0.420351
  -5.454545,   -0.324745
  -4.545455,   -0.229269
  -3.636364,   -0.133911
  -2.727273,   -0.038686
  -1.818182,    0.056777
  -0.909091,    0.151797
  -0.000000,    0.246698
   0.909091,    0.341466
   1.818182,    0.436094
   2.727273,    0.530589
   3.636364,    0.624965
   4.545455,    0.719207
   5.454545,    0.813311
   6.363636,    0.907283
   7.272727,    1.001136
   8.181818,    1.094855
   9.090909,    1.188438
  10.000000,    1.281893
  10.909091,    1.375159
  11.818182,    1.464312
  12.727273,    1.541184
  13.636364,    1.600449
  14.545455,    1.640191
  15.454545,    1.661877
  16.363636,    1.670349
  17.272727,    1.673759
  18.181818,    1.682893
  19.090909,    1.712624
  20.000000,    1.781584
