alpha body, CL_e
 -10.000000,   -0.774693
  -9.090909,   -0.682087
  -8.181818,   -0.589604
  -7.272727,   -0.497233
  -6.363636,   -0.404988
  -5.454545,   -0.312876
  -4.545455,   -0.220888
  -3.636364,   -0.129011
  -2.727273,   -0.037259
  -1.818182,    0.054725
  -0.909091,    0.146286
  -0.000000,    0.237736
   0.909091,    0.329062
   1.818182,    0.420258
   2.727273,    0.511331
   3.636364,    0.602293
   4.545455,    0.693132
   5.454545,    0.783843
   6.363636,    0.874433
   7.272727,    0.964913
   8.181818,    1.055270
   9.090909,    1.145502
  10.000000,    1.235617
  10.909091,    1.325555
  11.818182,    1.411532
  12.727273,    1.485665
  13.636364,    1.542807
  14.545455,    1.581101
  15.454545,    1.601952
