alpha body, CL_e
 -10.000000,   -0.803589
  -9.000000,   -0.697917
  -8.000000,   -0.592404
  -7.000000,   -0.487051
  -6.000000,   -0.381858
  -5.000000,   -0.276813
  -4.000000,   -0.171921
  -3.000000,   -0.067191
  -2.000000,    0.037742
  -1.000000,    0.142221
   0.000000,    0.246541
   1.000000,    0.350712
   2.000000,    0.454725
   3.000000,    0.558576
   4.000000,    0.662263
   5.000000,    0.765786
   6.000000,    0.869158
   7.000000,    0.972378
   8.000000,    1.075440
   9.000000,    1.178339
  10.000000,    1.281078
  11.000000,    1.383511
  12.000000,    1.479933
  13.000000,    1.559968
  14.000000,    1.617648
  15.000000,    1.652001
  16.000000,    1.667013
  17.000000,    1.671595
  18.000000,    1.678899
  19.000000,    1.707102
  20.000000,    1.780426
