Ground Roll distance, Load Factor
1112.412899,    0.788356
1138.585653,    0.784159
1319.269083,    0.755600
1355.005927,    0.750036
1390.611043,    0.744521
1426.085087,    0.739053
1461.428708,    0.733632
1468.481839,    0.732553
1468.651553,    0.732527
1468.774173,    0.732508
1468.834595,    0.732499
1468.873008,    0.732493
1468.886392,    0.732491
1468.894192,    0.732490
1468.895757,    0.732489
1468.897182,    0.732489
1468.911433,    0.732483
1469.053934,    0.732425
1470.478637,    0.731844
1484.694425,    0.726004
1587.919327,    0.681241
1612.370109,    0.669994
1639.761874,    0.657079
1756.308037,    0.598113
1865.708425,    0.536080
1963.723437,    0.474032
2050.659091,    0.412979
2127.168195,    0.353766
2193.982165,    0.297157
2251.842216,    0.243844
2265.695530,    0.230417
2267.994152,    0.228163
2270.707944,    0.225492
2296.955318,    0.199121
2313.064287,    0.182432
2324.355795,    0.170495
2328.164341,    0.166422
2331.558531,    0.162772
2363.392366,    0.127565
2372.092138,    0.117620
2379.262037,    0.109312
2383.215383,    0.104687
2385.467024,    0.102038
2386.595630,    0.100707
2387.709845,    0.099390
2398.446090,    0.086574
2426.054555,    0.052503
2447.031459,    0.025391
2451.588320,    0.019332
2455.168299,    0.014517
2464.385068,    0.001851
2465.299551,    0.000564
2465.585593,    0.000159
2465.692242,    0.000008
2465.697158,    0.000001
2465.697629,    0.000000
2465.697655,    0.000000
