eta, Cl
   0.000000,    0.144210
   0.020408,    0.145193
   0.040816,    0.147150
   0.061224,    0.149149
   0.081633,    0.151167
   0.102041,    0.153189
   0.122449,    0.155208
   0.142857,    0.157216
   0.163265,    0.159210
   0.183673,    0.161186
   0.204082,    0.163142
   0.224490,    0.165075
   0.244898,    0.166984
   0.265306,    0.168866
   0.285714,    0.170719
   0.306122,    0.172541
   0.326531,    0.174331
   0.346939,    0.176085
   0.367347,    0.177802
   0.387755,    0.179478
   0.408163,    0.181109
   0.428571,    0.182692
   0.448980,    0.184221
   0.469388,    0.185691
   0.489796,    0.187096
   0.510204,    0.188427
   0.530612,    0.189676
   0.551020,    0.190831
   0.571429,    0.191882
   0.591837,    0.192813
   0.612245,    0.193607
   0.632653,    0.194244
   0.653061,    0.194699
   0.673469,    0.194942
   0.693878,    0.194937
   0.714286,    0.194642
   0.734694,    0.194004
   0.755102,    0.192956
   0.775510,    0.191419
   0.795918,    0.189291
   0.816327,    0.186442
   0.836735,    0.182708
   0.857143,    0.177870
   0.877551,    0.171637
   0.897959,    0.163604
   0.918367,    0.153178
   0.938776,    0.139428
   0.959184,    0.120674
   0.979592,    0.093034
   1.000000,    0.000000
