alpha body, CL_e
  -4.000000,    1.298138
  -3.172414,    1.388542
  -2.344828,    1.479100
  -1.517241,    1.569811
  -0.689655,    1.660673
   0.137931,    1.751811
   0.965517,    1.842961
   1.793103,    1.934260
   2.620690,    2.025708
   3.448276,    2.117302
   4.275862,    2.209043
   5.103448,    2.300929
   5.931034,    2.392960
   6.758621,    2.485134
   7.586207,    2.577453
   8.413793,    2.669915
   9.241379,    2.762520
  10.068966,    2.855267
  10.896552,    2.948153
  11.724138,    3.041175
  12.551724,    3.134332
  13.379310,    3.227623
  14.206897,    3.321055
  15.034483,    3.411896
  15.862069,    3.492727
  16.689655,    3.557761
  17.517241,    3.603683
  18.344828,    3.629661
  19.172414,    3.637358
  20.000000,    3.630938
