alpha body, CL
  -4.000000,   -0.629035
  -3.517241,   -0.567255
  -3.034483,   -0.505508
  -2.551724,   -0.443789
  -2.068966,   -0.382100
  -1.586207,   -0.320436
  -1.103448,   -0.258797
  -0.620690,   -0.197183
  -0.137931,   -0.135593
   0.344828,   -0.074031
   0.827586,   -0.012492
   1.310345,    0.049023
   1.793103,    0.110516
   2.275862,    0.171987
   2.758621,    0.233433
   3.241379,    0.294858
   3.724138,    0.356262
   4.206897,    0.417645
   4.689655,    0.479008
   5.172414,    0.540349
   5.655172,    0.601671
   6.137931,    0.662973
   6.620690,    0.724257
   7.103448,    0.785524
   7.586207,    0.846771
   8.068966,    0.909083
   8.551724,    0.974673
   9.034483,    1.040671
   9.517241,    1.106975
  10.000000,    1.172066
