alpha body, CL
  -4.000000,   -0.620532
  -3.517241,   -0.558752
  -3.034483,   -0.497005
  -2.551724,   -0.435286
  -2.068966,   -0.373597
  -1.586207,   -0.311933
  -1.103448,   -0.250294
  -0.620690,   -0.188680
  -0.137931,   -0.127090
   0.344828,   -0.065528
   0.827586,   -0.003989
   1.310345,    0.057526
   1.793103,    0.119019
   2.275862,    0.180490
   2.758621,    0.241936
   3.241379,    0.303361
   3.724138,    0.364765
   4.206897,    0.426148
   4.689655,    0.487511
   5.172414,    0.548852
   5.655172,    0.610174
   6.137931,    0.671476
   6.620690,    0.732760
   7.103448,    0.794027
   7.586207,    0.855274
   8.068966,    0.917586
   8.551724,    0.983176
   9.034483,    1.049174
   9.517241,    1.115478
  10.000000,    1.180569
