alpha body, CL
  -4.000000,   -0.488713
  -3.517241,   -0.426932
  -3.034483,   -0.365186
  -2.551724,   -0.303467
  -2.068966,   -0.241777
  -1.586207,   -0.180113
  -1.103448,   -0.118474
  -0.620690,   -0.056860
  -0.137931,    0.004729
   0.344828,    0.066292
   0.827586,    0.127830
   1.310345,    0.189346
   1.793103,    0.250839
   2.275862,    0.312310
   2.758621,    0.373756
   3.241379,    0.435181
   3.724138,    0.496585
   4.206897,    0.557968
   4.689655,    0.619331
   5.172414,    0.680672
   5.655172,    0.741993
   6.137931,    0.803296
   6.620690,    0.864580
   7.103448,    0.925846
   7.586207,    0.987094
   8.068966,    1.049405
   8.551724,    1.114996
   9.034483,    1.180994
   9.517241,    1.247298
  10.000000,    1.312389
