alpha body, CL
  -4.000000,   -0.687274
  -3.517241,   -0.625493
  -3.034483,   -0.563747
  -2.551724,   -0.502028
  -2.068966,   -0.440339
  -1.586207,   -0.378675
  -1.103448,   -0.317036
  -0.620690,   -0.255422
  -0.137931,   -0.193832
   0.344828,   -0.132270
   0.827586,   -0.070731
   1.310345,   -0.009216
   1.793103,    0.052278
   2.275862,    0.113748
   2.758621,    0.175195
   3.241379,    0.236619
   3.724138,    0.298023
   4.206897,    0.359406
   4.689655,    0.420769
   5.172414,    0.482110
   5.655172,    0.543432
   6.137931,    0.604734
   6.620690,    0.666019
   7.103448,    0.727285
   7.586207,    0.788532
   8.068966,    0.850844
   8.551724,    0.916434
   9.034483,    0.982432
   9.517241,    1.048736
  10.000000,    1.113827
