alpha body, CL
  -4.000000,   -0.413674
  -3.517241,   -0.351894
  -3.034483,   -0.290147
  -2.551724,   -0.228428
  -2.068966,   -0.166739
  -1.586207,   -0.105075
  -1.103448,   -0.043436
  -0.620690,    0.018178
  -0.137931,    0.079768
   0.344828,    0.141330
   0.827586,    0.202869
   1.310345,    0.264384
   1.793103,    0.325877
   2.275862,    0.387348
   2.758621,    0.448794
   3.241379,    0.510219
   3.724138,    0.571623
   4.206897,    0.633006
   4.689655,    0.694369
   5.172414,    0.755710
   5.655172,    0.817032
   6.137931,    0.878334
   6.620690,    0.939618
   7.103448,    1.000885
   7.586207,    1.062132
   8.068966,    1.124444
   8.551724,    1.190034
   9.034483,    1.256032
   9.517241,    1.322336
  10.000000,    1.387427
