alpha body, CL
  -4.000000,   -0.641674
  -3.517241,   -0.579893
  -3.034483,   -0.518147
  -2.551724,   -0.456428
  -2.068966,   -0.394739
  -1.586207,   -0.333075
  -1.103448,   -0.271436
  -0.620690,   -0.209822
  -0.137931,   -0.148232
   0.344828,   -0.086670
   0.827586,   -0.025131
   1.310345,    0.036384
   1.793103,    0.097878
   2.275862,    0.159348
   2.758621,    0.220795
   3.241379,    0.282219
   3.724138,    0.343623
   4.206897,    0.405006
   4.689655,    0.466369
   5.172414,    0.527710
   5.655172,    0.589032
   6.137931,    0.650334
   6.620690,    0.711619
   7.103448,    0.772885
   7.586207,    0.834132
   8.068966,    0.896444
   8.551724,    0.962034
   9.034483,    1.028032
   9.517241,    1.094336
  10.000000,    1.159427
