alpha body, CL
  -4.000000,   -0.338636
  -3.517241,   -0.276855
  -3.034483,   -0.215109
  -2.551724,   -0.153390
  -2.068966,   -0.091700
  -1.586207,   -0.030036
  -1.103448,    0.031602
  -0.620690,    0.093216
  -0.137931,    0.154806
   0.344828,    0.216368
   0.827586,    0.277907
   1.310345,    0.339423
   1.793103,    0.400916
   2.275862,    0.462386
   2.758621,    0.523833
   3.241379,    0.585257
   3.724138,    0.646661
   4.206897,    0.708044
   4.689655,    0.769407
   5.172414,    0.830749
   5.655172,    0.892070
   6.137931,    0.953373
   6.620690,    1.014657
   7.103448,    1.075923
   7.586207,    1.137170
   8.068966,    1.199482
   8.551724,    1.265072
   9.034483,    1.331070
   9.517241,    1.397374
  10.000000,    1.462465
