alpha body, CL
  -4.000000,   -0.561378
  -3.517241,   -0.499597
  -3.034483,   -0.437851
  -2.551724,   -0.376132
  -2.068966,   -0.314442
  -1.586207,   -0.252778
  -1.103448,   -0.191139
  -0.620690,   -0.129525
  -0.137931,   -0.067936
   0.344828,   -0.006373
   0.827586,    0.055166
   1.310345,    0.116681
   1.793103,    0.178174
   2.275862,    0.239645
   2.758621,    0.301091
   3.241379,    0.362516
   3.724138,    0.423920
   4.206897,    0.485303
   4.689655,    0.546666
   5.172414,    0.608007
   5.655172,    0.669329
   6.137931,    0.730631
   6.620690,    0.791915
   7.103448,    0.853181
   7.586207,    0.914429
   8.068966,    0.976741
   8.551724,    1.042331
   9.034483,    1.108329
   9.517241,    1.174633
  10.000000,    1.239724
