Mach, Specific Range
   0.462520,    0.136437
   0.464080,    0.136239
   0.465640,    0.136042
   0.467200,    0.135847
   0.468760,    0.135654
   0.470320,    0.135446
   0.471880,    0.135202
   0.473439,    0.134962
   0.474999,    0.134723
   0.476559,    0.134486
   0.478119,    0.134232
   0.479679,    0.133957
   0.481239,    0.133685
   0.482799,    0.133414
   0.484359,    0.133144
   0.485918,    0.132853
   0.487478,    0.132536
   0.489038,    0.132221
   0.490598,    0.131908
   0.492158,    0.131596
   0.493718,    0.131281
   0.495278,    0.130951
   0.496838,    0.130622
   0.498398,    0.130295
   0.499957,    0.129970
   0.501517,    0.129652
   0.503077,    0.129320
   0.504637,    0.128985
   0.506197,    0.128651
   0.507757,    0.128318
   0.509317,    0.127987
   0.510877,    0.127657
   0.512436,    0.127309
   0.513996,    0.126964
   0.515556,    0.126623
   0.517116,    0.126283
   0.518676,    0.125945
   0.520236,    0.125605
   0.521796,    0.125248
   0.523356,    0.124893
   0.524915,    0.124539
   0.526475,    0.124187
   0.528035,    0.123837
   0.529595,    0.123488
   0.531155,    0.123120
   0.532715,    0.122753
   0.534275,    0.122387
   0.535835,    0.122023
   0.537395,    0.121661
   0.538954,    0.121300
   0.540514,    0.120929
   0.542074,    0.120548
   0.543634,    0.120166
   0.545194,    0.119786
   0.546754,    0.119408
   0.548314,    0.119032
   0.549874,    0.118657
   0.551433,    0.118272
   0.552993,    0.117884
   0.554553,    0.117499
   0.556113,    0.117111
   0.557673,    0.116723
   0.559233,    0.116337
   0.560793,    0.115952
   0.562353,    0.115559
   0.563912,    0.115163
   0.565472,    0.114768
   0.567032,    0.114375
   0.568592,    0.113984
   0.570152,    0.113588
   0.571712,    0.113192
   0.573272,    0.112796
   0.574832,    0.112390
   0.576392,    0.111986
   0.577951,    0.111584
   0.579511,    0.111184
   0.581071,    0.110786
   0.582631,    0.110389
   0.584191,    0.109986
   0.585751,    0.109579
   0.587311,    0.109165
   0.588871,    0.108753
   0.590430,    0.108343
   0.591990,    0.107935
   0.593550,    0.107530
   0.595110,    0.107126
   0.596670,    0.106724
   0.598230,    0.106312
   0.599790,    0.105889
   0.601350,    0.105469
   0.602909,    0.105051
   0.604469,    0.104635
   0.606029,    0.104221
   0.607589,    0.103809
   0.609149,    0.103400
   0.610709,    0.102992
   0.612269,    0.102571
   0.613829,    0.102144
   0.615389,    0.101719
   0.616948,    0.101297
